Id,Label,Nationality
michael_schumacher,Michael Schumacher,German
damon_hill,Damon Hill,British
alesi,Jean Alesi,French
barrichello,Rubens Barrichello,Brazilian
katayama,Ukyo Katayama,Japanese
wendlinger,Karl Wendlinger,Austrian
herbert,Johnny Herbert,British
martini,Pierluigi Martini,Italian
comas,Érik Comas,French
lamy,Pedro Lamy,Portuguese
panis,Olivier Panis,French
brabham,David Brabham,Australian
senna,Ayrton Senna,Brazilian
brundle,Martin Brundle,British
irvine,Eddie Irvine,British
verstappen,Jos Verstappen,Dutch
bernard,Éric Bernard,French
blundell,Mark Blundell,British
fittipaldi,Christian Fittipaldi,Brazilian
frentzen,Heinz-Harald Frentzen,German
hakkinen,Mika Häkkinen,Finnish
alboreto,Michele Alboreto,Italian
morbidelli,Gianni Morbidelli,Italian
berger,Gerhard Berger,Austrian
beretta,Olivier Beretta,Monegasque
gachot,Bertrand Gachot,Belgian
ratzenberger,Roland Ratzenberger,Austrian
suzuki,Aguri Suzuki,Japanese
larini,Nicola Larini,Italian
cesaris,Andrea de Cesaris,Italian
lehto,Jyrki Järvilehto,Finnish
belmondo,Paul Belmondo,French
coulthard,David Coulthard,British
salo,Mika Salo,Finnish
montermini,Andrea Montermini,Italian
diniz,Pedro Diniz,Brazilian
inoue,Taki Inoue,Japanese
badoer,Luca Badoer,Italian
moreno,Roberto Moreno,Brazilian
schiattarella,Domenico Schiattarella,Italian
mansell,Nigel Mansell,British
villeneuve,Jacques Villeneuve,Canadian
rosset,Ricardo Rosset,Brazilian
fisichella,Giancarlo Fisichella,Italian
marques,Tarso Marques,Brazilian
nakano,Shinji Nakano,Japanese
trulli,Jarno Trulli,Italian
magnussen,Jan Magnussen,Danish
ralf_schumacher,Ralf Schumacher,German
wurz,Alexander Wurz,Austrian
tuero,Esteban Tuero,Argentine
takagi,Toranosuke Takagi,Japanese
rosa,Pedro de la Rosa,Spanish
zonta,Ricardo Zonta,Brazilian
gene,Marc Gené,Spanish
zanardi,Alessandro Zanardi,Italian
sarrazin,Stéphane Sarrazin,French
heidfeld,Nick Heidfeld,German
button,Jenson Button,British
mazzacane,Gastón Mazzacane,Argentine
raikkonen,Kimi Räikkönen,Finnish
burti,Luciano Burti,Brazilian
alonso,Fernando Alonso,Spanish
montoya,Juan Pablo Montoya,Colombian
bernoldi,Enrique Bernoldi,Brazilian
webber,Mark Webber,Australian
yoong,Alex Yoong,Malaysian
sato,Takuma Sato,Japanese
massa,Felipe Massa,Brazilian
mcnish,Allan McNish,British
pizzonia,Antônio Pizzonia,Brazilian
wilson,Justin Wilson,British
matta,Cristiano da Matta,Brazilian
firman,Ralph Firman,Irish
klien,Christian Klien,Austrian
pantano,Giorgio Pantano,Italian
bruni,Gianmaria Bruni,Italian
baumgartner,Zsolt Baumgartner,Hungarian
