Source,Target,Weight
lehto,michael_schumacher,1
lehto,verstappen,1
michael_schumacher,verstappen,1
alesi,berger,4
alesi,larini,1
berger,larini,1
fittipaldi,morbidelli,1
barrichello,cesaris,1
barrichello,irvine,2
barrichello,suzuki,1
cesaris,irvine,1
cesaris,suzuki,1
irvine,suzuki,1
beretta,comas,1
bernard,panis,1
brundle,hakkinen,1
alboreto,martini,1
belmondo,gachot,1
frentzen,wendlinger,2
brabham,ratzenberger,1
herbert,lamy,1
blundell,katayama,1
damon_hill,senna,1
herbert,michael_schumacher,1
inoue,morbidelli,1
diniz,moreno,1
brundle,panis,1
brundle,suzuki,1
panis,suzuki,1
blundell,hakkinen,1
blundell,mansell,1
hakkinen,mansell,1
badoer,martini,1
gachot,montermini,1
schiattarella,verstappen,1
katayama,salo,2
coulthard,damon_hill,1
irvine,michael_schumacher,4
rosset,verstappen,1
badoer,montermini,1
barrichello,brundle,1
diniz,panis,1
coulthard,hakkinen,6
fisichella,lamy,1
fisichella,marques,1
lamy,marques,1
frentzen,herbert,1
damon_hill,villeneuve,1
damon_hill,diniz,1
fisichella,ralf_schumacher,1
katayama,trulli,1
nakano,panis,1
herbert,larini,1
barrichello,magnussen,2
salo,verstappen,1
frentzen,villeneuve,2
diniz,salo,2
fisichella,wurz,3
damon_hill,ralf_schumacher,1
nakano,tuero,1
panis,trulli,2
alesi,herbert,1
rosset,takagi,1
rosa,takagi,1
salo,villeneuve,1
salo,zonta,1
villeneuve,zonta,2
damon_hill,frentzen,1
badoer,gene,1
badoer,sarrazin,1
gene,sarrazin,1
alesi,diniz,1
barrichello,herbert,1
ralf_schumacher,zanardi,1
rosa,verstappen,1
barrichello,michael_schumacher,5
herbert,irvine,1
frentzen,trulli,2
gene,mazzacane,1
alesi,heidfeld,1
button,ralf_schumacher,1
bernoldi,verstappen,1
panis,villeneuve,2
button,fisichella,1
burti,irvine,1
alonso,marques,1
alesi,burti,1
alesi,mazzacane,1
burti,mazzacane,1
heidfeld,raikkonen,1
montoya,ralf_schumacher,4
bernoldi,frentzen,1
irvine,rosa,1
fisichella,sato,1
coulthard,raikkonen,3
webber,yoong,1
button,trulli,1
heidfeld,massa,1
mcnish,salo,1
button,villeneuve,1
pizzonia,webber,1
firman,fisichella,1
verstappen,wilson,1
alonso,trulli,2
frentzen,heidfeld,1
matta,panis,2
button,sato,1
klien,webber,1
heidfeld,pantano,1
baumgartner,bruni,1
fisichella,massa,1
