Source,Target,Weight
button,davidson,1
button,sato,1
davidson,sato,3
barrichello,michael_schumacher,1
karthikeyan,monteiro,1
montoya,raikkonen,2
montoya,rosa,1
montoya,wurz,1
raikkonen,rosa,1
raikkonen,wurz,1
rosa,wurz,1
albers,friesacher,1
coulthard,klien,2
coulthard,liuzzi,1
klien,liuzzi,1
alonso,fisichella,2
massa,villeneuve,1
ralf_schumacher,trulli,3
heidfeld,webber,1
heidfeld,villeneuve,1
massa,michael_schumacher,1
barrichello,button,4
albers,monteiro,1
ide,sato,1
liuzzi,speed,2
rosberg,webber,1
heidfeld,kubica,3
massa,raikkonen,3
alonso,hamilton,1
coulthard,webber,2
fisichella,kovalainen,1
albers,sutil,1
rosberg,wurz,1
fisichella,sutil,2
hamilton,kovalainen,2
alonso,piquet_jr,2
bourdais,vettel,1
glock,trulli,2
nakajima,rosberg,2
vettel,webber,5
bourdais,buemi,1
alonso,massa,4
liuzzi,sutil,1
bruno_senna,chandhok,1
kovalainen,trulli,2
button,hamilton,3
michael_schumacher,rosberg,3
kubica,petrov,1
kobayashi,rosa,1
alguersuari,buemi,2
glock,grassi,1
barrichello,hulkenberg,1
resta,sutil,2
karthikeyan,liuzzi,1
heidfeld,petrov,1
kobayashi,perez,2
ambrosio,glock,1
barrichello,maldonado,1
kovalainen,petrov,1
hulkenberg,resta,1
karthikeyan,rosa,1
grosjean,raikkonen,2
glock,pic,1
ricciardo,vergne,2
bruno_senna,maldonado,1
garde,pic,1
chilton,jules_bianchi,2
button,perez,1
hamilton,rosberg,3
gutierrez,hulkenberg,1
bottas,maldonado,1
ericsson,kobayashi,1
alonso,raikkonen,1
hulkenberg,perez,2
grosjean,maldonado,2
button,kevin_magnussen,2
ricciardo,vettel,1
gutierrez,sutil,1
kvyat,vergne,1
bottas,massa,2
raikkonen,vettel,1
merhi,stevens,1
alonso,button,1
alonso,kevin_magnussen,1
kvyat,ricciardo,1
ericsson,nasr,1
max_verstappen,sainz,1
