Source,Target,Weight
31,1,1
31,16,1
1,16,1
3,24,4
3,29,1
24,29,1
19,23,1
4,30,1
4,15,2
4,28,1
30,15,1
30,28,1
15,28,1
25,9,1
17,11,1
14,21,1
22,8,1
32,26,1
20,6,2
12,27,1
7,10,1
18,5,1
2,13,1
7,1,1
37,23,1
36,39,1
14,11,1
14,28,1
11,28,1
18,21,1
18,41,1
21,41,1
38,8,1
26,35,1
40,16,1
5,34,2
33,2,1
15,1,4
43,16,1
38,35,1
4,14,1
36,11,1
33,21,6
44,10,1
44,45,1
10,45,1
20,7,1
2,42,1
2,36,1
44,49,1
5,47,1
46,11,1
7,29,1
4,48,2
34,16,1
20,42,2
36,34,2
44,50,3
2,49,1
46,51,1
11,47,2
3,7,1
43,52,1
53,52,1
34,42,1
34,54,1
42,54,2
2,20,1
38,55,1
38,57,1
55,57,1
3,36,1
4,7,1
49,56,1
53,16,1
4,1,6
7,15,1
20,47,2
55,60,1
3,58,1
59,49,1
65,16,1
11,42,2
59,44,1
62,15,1
63,45,1
3,62,1
3,60,1
62,60,1
58,61,1
64,49,4
65,20,1
15,53,1
44,68,1
33,61,3
66,67,1
59,47,1
58,69,1
70,34,1
59,42,1
71,66,1
74,44,1
16,72,1
63,47,2
20,58,1
73,11,2
59,68,2
75,66,1
58,76,1
78,77,1
44,69,1
59,83,1
83,68,3
79,80,1
64,61,2
64,53,1
64,50,1
61,53,1
61,50,1
53,50,1
82,81,1
33,75,2
33,84,1
75,84,1
63,44,2
69,42,1
49,47,3
58,66,1
58,42,1
69,1,1
4,59,4
82,80,1
87,68,1
84,86,2
85,66,1
58,91,3
69,61,3
63,88,1
33,66,2
44,89,1
82,90,1
85,50,1
44,90,2
88,89,2
63,95,2
93,96,1
94,47,2
92,85,2
96,66,5
93,97,1
63,69,4
84,90,1
100,104,1
89,47,2
59,88,3
1,85,3
91,101,1
102,53,1
98,97,2
94,103,1
4,99,1
105,90,2
79,84,1
58,101,1
102,108,2
106,94,1
4,107,1
89,101,1
99,105,1
79,53,1
112,61,2
94,111,1
109,110,2
100,107,1
117,111,1
116,115,2
59,108,1
88,85,4
113,99,1
114,107,1
120,102,1
63,61,1
99,108,4
112,107,2
59,118,2
109,96,1
113,90,1
119,110,1
114,69,3
61,96,4
124,125,1
63,59,2
63,118,1
119,109,2
120,121,2
123,122,2
112,113,1
128,127,1
63,129,3
59,129,1
119,123,2
123,109,3
126,118,1
119,122,2
130,108,2
112,118,4
114,88,5
99,126,1
120,131,1
120,127,1
131,127,1
69,132,1
99,122,1
120,133,1
134,135,1
136,132,1
131,61,3
133,96,2
137,122,2
108,132,2
135,123,1
99,109,1
138,119,1
91,139,1
135,119,1
99,132,2
138,123,1
130,109,1
140,139,2
135,141,2
63,130,2
132,96,2
133,122,4
143,142,1
137,109,2
123,108,4
114,144,3
99,96,1
118,142,1
88,139,3
138,140,1
146,141,1
135,130,2
63,132,4
99,118,2
137,147,4
138,145,2
148,133,1
148,122,1
109,141,1
152,135,1
88,133,2
148,130,2
149,139,2
153,150,1
153,141,1
150,141,2
150,123,1
123,141,1
151,99,2
138,122,2
155,135,1
114,108,1
154,150,1
153,123,1
